Sector,Gas,Activity,Additional aggregation,Category,Year,Emissions
Waste,N2O,Waste,,Rural Open Burning,1990,14.3999
Waste,N2O,Waste,,Medical Waste Incineration,1990,0.312
Waste,N2O,Waste,,Misc. Industrial/Comm Waste Incineration,1990,13.0299
Waste,N2O,Waste,,Municipal Wastewater,1990,248.0438
Waste,N2O,Waste,,Biosolids Land Application,1990,35.9838
Waste,N2O,Waste,,MMSW Waste Composting ,1990,15.5217
Waste,CH4,Energy,Incinerated Waste,Waste Sector RDF (energy),1990,0.0496
Waste,CH4,Energy,Incinerated Waste,Waste Sector Mass Burn (energy),1990,0.033
Waste,CH4,Energy,Incinerated Waste,Sludge Incineration (energy),1990,312.3856
Waste,CH4,Energy,Associated Incinerator Fuels,Bituminous coal,1990,0
Waste,CH4,Energy,Associated Incinerator Fuels,Wood,1990,0.4675
Waste,CH4,Energy,Associated Incinerator Fuels,Natural gas-steam,1990,0.488
Waste,CH4,Energy,Associated Incinerator Fuels,Propane,1990,0
Waste,CH4,Energy,Associated Incinerator Fuels,Distillate fuel oil-steam,1990,0.006
Waste,CH4,Energy,Associated Incinerator Fuels,Natural gas-internal combustion engine,1990,0
Waste,CH4,Energy,Associated Incinerator Fuels,Distillate fuel oil-internal combustion,1990,0
Waste,CH4,Energy,Waste Processing,Landfill Operations (energy),1990,0.6122
Waste,CH4,Energy,Waste Processing,Yard Waste Preprocessing (energy),1990,0.038
Waste,CH4,Energy,Waste Processing,MMSW Compost Preprocessing (energy),1990,0.0143
Waste,CH4,Energy,Waste Processing,MRF (energy),1990,0.2024
Waste,CH4,Energy,Waste Processing,RDF Processing (energy),1990,0.1252
Waste,CH4,Energy,Waste Processing,Incinerator Ash Disposal (energy),1990,0.0003
Waste,CH4,Waste,,LFG Combustion/Flaring,1990,0
Waste,CH4,Waste,,Rural Open Burning,1990,623.9936
Waste,CH4,Waste,,Municipal Wastewater,1990,16005.0442
Waste,CH4,Waste,,MMSW composting,1990,164.0092
Waste,CH4,Waste,,MMSW Landfills,1990,204556.7329
Waste,CH4,Waste,,Industrial Landfills,1990,3094.1561
Waste,CO2,Energy,Incinerated Waste,Waste Sector RDF (energy),1990,16326.8215
Waste,CO2,Energy,Incinerated Waste,Waste Sector Mass Burn (energy),1990,8993.9039
Waste,CO2,Energy,Associated Incinerator Fuels,Bituminous coal,1990,0
Waste,CO2,Energy,Associated Incinerator Fuels,Natural gas-steam,1990,28667.7566
Waste,CO2,Energy,Associated Incinerator Fuels,Residual fuel oil,1990,19527.3921
Waste,CO2,Energy,Associated Incinerator Fuels,Waste solvent,1990,0
Waste,CO2,Energy,Associated Incinerator Fuels,Propane,1990,0
Waste,CO2,Energy,Associated Incinerator Fuels,Distillate fuel oil-steam,1990,2203.3099
Waste,CO2,Energy,Associated Incinerator Fuels,Natural gas-internal combustion engine,1990,0
Waste,CO2,Energy,Associated Incinerator Fuels,Distillate fuel oil-internal combustion,1990,0
Waste,CO2,Energy,Waste Processing,Landfill Operations (energy),1990,10893.7269
Waste,CO2,Energy,Waste Processing,Yard Waste Preprocessing (energy),1990,675.3218
Waste,CO2,Energy,Waste Processing,MMSW Compost Preprocessing (energy),1990,254.8073
Waste,CO2,Energy,Waste Processing,MRF (energy),1990,3601.4522
Waste,CO2,Energy,Waste Processing,RDF Processing (energy),1990,2228.7786
Waste,CO2,Energy,Waste Processing,Incinerator Ash Disposal (energy),1990,5.2474
Waste,CO2,Energy,Waste Processing,Hazardous Waste (energy),1990,86896.4564
Waste,CO2,Waste,,Rural Open Burning,1990,28453.4414
Waste,CO2,Waste,,Medical Waste Incineration,1990,2356.7461
Waste,CO2,Waste,,Misc. Industrial/Comm Waste Incineration,1990,49236.45
Waste,CO2,Waste,,Limestone use,1990,0
Waste,CO2,Waste,,Sequestration in demolition/construction/landfills,1990,-422196.67
Waste,CO,Energy,Incinerated Waste,Waste Sector RDF (energy),1990,20.85
Waste,CO,Energy,Incinerated Waste,Waste Sector Mass Burn (energy),1990,220
Waste,CO,Energy,Incinerated Waste,Sludge Incineration (energy),1990,7.1
Waste,CO,Energy,Waste Processing,Landfill Operations (energy),1990,56.1606
Waste,CO,Energy,Waste Processing,Yard Waste Preprocessing (energy),1990,3.4815
Waste,CO,Energy,Waste Processing,MMSW Compost Preprocessing (energy),1990,1.3136
