Row number,Sector,Gas,Activity,Additional aggregation,Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
23,Agriculture,CO2,Agriculture,,Erosion ,115810.6408,112832.5839,116891.9639,110238.4647,111952.6133,106725.9122,107029.0267,117239.601,106450.3294,103710.9119,105793.9697,99851.40301,103616.8089,99045.88429,93111.09689,86904.19069,83988.13222,80216.56242,80284.78493,79170.86242,80636.73065
24,Agriculture,CO2,Agriculture,,Histosol Cultivation ,5158284.304,5158284.304,5158284.304,5158284.304,5158284.304,5158284.304,5158284.304,5158284.304,5158284.304,5158284.304,5158284.304,5158284.304,5158284.304,5158284.304,5158284.304,5158284.304,5158284.304,5158284.304,5158284.304,5158284.304,5158284.304
25,Agriculture,CO2,Agriculture,,Liming of Fields ,49329.96293,45993.63693,52904.59792,59815.55891,41942.38394,42657.31094,47423.49093,54811.06992,65534.9749,70062.84589,74590.71689,47185.18193,32171.71495,32886.64195,36222.96795,33919.31428,31615.66062,29312.00696,24307.51796,26690.60796,28597.07996
26,Agriculture,CO2,Agriculture,,Urea Applications ,243993.932,204948.6684,231288.6759,292186.3869,377618.158,340037.538,319220.0113,349457.248,344068.6162,346183.8074,368197.1702,309442.3631,424735.7011,411822.8856,395560.5982,395895.4802,375228.2447,425730.1158,400554.6396,469494.1304,457601.4778
27,Agriculture,CO,Energy,,Energy,17590,18339.66667,19089.33333,19839,20588.66667,21338.33333,22088,22684,22210,24328,25074,25710,27733.64332,28216.44994,28699.25655,29182.06316,29182.06316,29182.06316,29182.06316,29182.06316,29182.06316
28,Agriculture,Biomass CO2,Biomass,,Ethanol,2551.5049,6442.61033,8770.22599,14332.7099,15199.2503,15590.27006,6297.3811,36344.14598,20412.38438,19829.65234,18930.00128,18731.76535,17153.14368,19290.99908,19269.99727,17925.05583,16334.04077,34144.59649,18341.20214,20226.82226,18743.24729
29,Agriculture,Biomass CO2,Biomass,,Biodiesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6771.17119,25991.26124,24959.11766,27858.20899,82376.72757,125235.7456
30,Agriculture,Biomass CO2,Agriculture,,Prescribed Burn ,0,0,0,0,0,0,0,0,0,0,0,0,0,2636964.186,1781043.632,2182582.058,1620976.967,1895330.165,2219435.472,3238186.697,2650477.105
31,Commercial,N2O,Energy,,Coal,6.132,4.1331,4.0791,5.58247,5.32866,5.05262,5.41775,4.79074,3.31589,1.97368,1.33803,1.70148,1.97157,1.77223,1.68957,1.83093,1.63326,1.61607,1.78597,1.58808,1.47478
32,Commercial,N2O,Energy,,Oil,5.73371,4.823,4.30423,3.82555,4.63922,4.5183,5.46909,3.97184,4.06737,3.73567,3.83075,6.05589,4.28843,4.02457,4.87708,5.8168,4.13344,3.16522,4.48676,5.89754,5.2594
33,Commercial,N2O,Energy,,Natural gas,7.83251,8.65775,8.25793,8.74179,8.40153,8.93525,9.93834,9.07682,8.01168,7.90633,9.40989,9.35815,10.06901,10.09442,9.51482,9.70495,8.40763,8.95682,10.25401,9.68234,9.00773
34,Commercial,N2O,Energy,,Other,4.65117,4.782,5.04441,5.27092,5.04878,5.09957,5.30044,5.04516,4.41721,4.63354,4.94798,5.26515,5.39437,5.62414,5.50061,6.42272,5.97434,6.28843,6.65751,6.67351,6.57971
35,Commercial,N2O,other,,Medical Uses,271.56284,271.78826,252.60204,292.22416,292.8237,293.19964,293.79984,313.72657,314.13067,315.20149,308.3908,308.31089,269.11103,268.42414,267.62567,266.63049,266.28742,265.89545,265.47139,265.99506,265.10903
36,Commercial,CH4,Energy,,Coal,40.88,27.55403,27.19403,37.2165,35.52438,33.68415,36.11832,31.93823,22.10595,13.15786,8.92022,11.34318,13.14377,11.81484,11.26378,12.20619,10.88841,10.77381,11.90648,10.58721,9.83187
37,Commercial,CH4,Energy,,Oil,101.40259,86.57041,78.61663,72.24122,85.46924,84.18433,102.66864,77.07313,75.35204,71.70784,74.4425,110.20667,80.30068,79.69038,90.95003,106.13804,77.70073,60.26972,87.27137,110.59663,96.40045
38,Commercial,CH4,Energy,,Natural gas,391.62531,432.88755,412.89641,437.08955,420.07635,446.76241,496.91719,453.84119,400.58382,395.31648,470.49435,467.90744,503.45073,504.72092,475.74079,485.24756,420.38135,447.84081,512.70039,484.11683,450.38656
39,Commercial,CH4,Energy,,Other,348.48451,358.23069,377.80072,394.60162,377.87355,381.54238,396.6681,377.11042,329.84732,346.85274,370.41537,392.7687,402.30351,418.9415,409.50156,478.49211,444.31664,470.82652,497.16754,495.26324,488.92389
40,Commercial,CO2,Energy,,Coal,390704.502,261265.1809,256595.3323,357080.0447,340846.5251,323538.6132,346579.6688,300644.8247,209362.4726,124541.5314,86536.21334,110099.8757,127615.5636,114707.5162,109463.9186,118613.951,105784.6503,104678.2087,115694.0411,103008.4403,95534.42599
41,Commercial,CO2,Energy,,Oil,789375.1005,686643.0943,634311.5575,602456.9165,697583.9225,687921.3088,852684.3946,658118.9377,616965.6374,607073.4311,637061.2806,887523.0789,663175.291,690647.1827,748635.324,857133.7394,643934.0204,506414.232,747224.7048,880311.7282,783290.3524
42,Commercial,CO2,Energy,,Natural gas,4361473.771,4821005.315,4598366.952,4867802.339,4678328.841,4975527.623,5534094.098,5054362.908,4461243.419,4402581.819,5239826.778,5211016.727,5606857.08,5621003.072,5298255.56,5404131.072,4681725.556,4987537.627,5709869.294,5391538.345,5015889.18
43,Commercial,CO2,Energy,,Other,104.1749,0,0,0,0,0,54.45237,33.1286,98.36875,129.84833,16.68773,0,0,0,0,0,0,0,0,0,0
44,Commercial,CO2,other,,Limestone use,0,0,0,0,0,0,0,0,0,0,1623.93987,1172.67516,1432.17974,1295.33333,1207.9268,1488.01307,,,,,
